total-place,gender-place,name,time,diff
,100,"Wassdahl, Susanne (SWE)",06:27:08,+02:04:02
,101,"Lagerskog, Anna (SWE)",06:28:32,+02:05:26
,102,"Holgersson, Jenny (SWE)",06:30:12,+02:07:06
,103,"de Wit, Tosca (NED)",06:31:59,+02:08:53
,104,"Masnicova, Klara (CZE)",06:34:37,+02:11:31
,105,"Jokela, Emmi (SWE)",06:35:21,+02:12:15
,106,"Holmgård, Sofia (SWE)",06:36:08,+02:13:02
,107,"Stider, Linnea (SWE)",06:36:12,+02:13:06
,108,"Lindgren, Anna (SWE)",06:36:23,+02:13:17
,109,"Klemencic, Anita (SLO)",06:37:04,+02:13:58
,110,"Ejenström, Anna-Karin (SWE)",06:41:48,+02:18:42
,111,"Josefsson, Elise (SWE)",06:42:42,+02:19:36
,112,"Liset, Mette (NOR)",06:43:20,+02:20:14
,113,"Fällgren Lorentsson, Lotta (SWE)",06:43:26,+02:20:20
,114,"Engström, Sofia (SWE)",06:43:45,+02:20:39
,115,"Ingvarsson, Tilde (SWE)",06:43:59,+02:20:53
,116,"Bergkvist, Alicia (SWE)",06:44:21,+02:21:15
,117,"Steinbach Olsson, Meta (SWE)",06:45:32,+02:22:26
,118,"Bergkvist, Jenny (SWE)",06:45:58,+02:22:52
,119,"Rolke, Maria Cathrine Berg (NOR)",06:46:23,+02:23:17
,120,"Nilsson, Johanna (SWE)",06:46:31,+02:23:25
,121,"Jeppson, Siri (SWE)",06:46:36,+02:23:30
,122,"Gustafsson, Sandra (SWE)",06:48:33,+02:25:27
,123,"Riedl, Hanna (GER)",06:48:33,+02:25:27
,124,"Jansson, Caroline (SWE)",06:48:46,+02:25:40
,125,"Norrby-Rydin, Felicia (SWE)",06:48:54,+02:25:48
,126,"Dahlgren, Emma (SWE)",06:49:37,+02:26:31
,127,"Ena, Marjo (FIN)",06:49:55,+02:26:49
,128,"Buresova, Veronika (CZE)",06:50:30,+02:27:24
,129,"Lindblom, Lisa (SWE)",06:51:42,+02:28:36
,130,"Edén, Therése (SWE)",06:51:56,+02:28:50
,131,"Løset, Ingrid Disch (NOR)",06:53:01,+02:29:55
,132,"Haug, Irja Lie (NOR)",06:53:19,+02:30:13
