total-place,gender-place,name,time,diff
,102,"Walseth, Ørjan (NOR)",04:28:48,+36:05
,103,"Hallin, Pierre (SWE)",04:28:48,+36:05
,104,"Holmgren, Daniel (SWE)",04:28:48,+36:05
,105,"Hulbak, Sigurd Sollien (NOR)",04:28:49,+36:06
,106,"Ponti, Giacomo (ITA)",04:28:53,+36:10
,107,"Jansson, Linus (SWE)",04:28:54,+36:11
,108,"Ronneback, Joachim (SWE)",04:28:54,+36:11
,109,"Karlsson, Jakob (SWE)",04:28:54,+36:11
,110,"Svendby, Stian Roti (NOR)",04:29:02,+36:19
,111,"Löfgren, Jim (SWE)",04:29:22,+36:39
,112,"Janovskis Heldal, Gustav (NOR)",04:29:42,+36:59
,113,"Lorenzi, Christian (ITA)",04:30:51,+38:08
,114,"Steen, Adam (SWE)",04:30:52,+38:09
,115,"Gjertveit, Christian (NOR)",04:30:52,+38:09
,116,"Wickström, Erik (SWE)",04:30:52,+38:09
,117,"Ahnbrink, Oskar (SWE)",04:31:09,+38:26
,118,"Baumann, Halfdan Thomas (NOR)",04:31:20,+38:37
,119,"Sollie, Henrik (NOR)",04:31:21,+38:38
,120,"Boström, Anders (SWE)",04:31:43,+39:00
,121,"Österlund, Johan (SWE)",04:31:47,+39:04
,122,"Söderqvist, Klas (SWE)",04:32:07,+39:24
,123,"Hermansson, John (SWE)",04:32:08,+39:25
,124,"Hellsvik, Ragnar (SWE)",04:32:08,+39:25
,125,"Andersen, Jens (NOR)",04:32:13,+39:30
,126,"Rinner, Thomas (ITA)",04:32:18,+39:35
,127,"Walther, Jakob (GER)",04:32:21,+39:38
,128,"Waaler, Magnus (NOR)",04:32:22,+39:39
,129,"Boberg, Michael (SWE)",04:32:35,+39:52
,130,"Laurent, Bastien (FRA)",04:32:37,+39:54
,131,"Mäenpää, Hannes (FIN)",04:32:55,+40:12
,132,"Poopuu, Peeter (EST)",04:33:09,+40:26
,133,"Bergli, Jonas (NOR)",04:33:11,+40:28
,134,"Köcheler, Markus (GER)",04:33:36,+40:53
,135,"Heir, Marius Borge (NOR)",04:33:54,+41:11
,136,"Sulkakoski, David (FIN)",04:34:12,+41:29
,137,"Steen, Jonatan (SWE)",04:34:19,+41:36
,138,"Persson, Oscar (SWE)",04:34:40,+41:57
,139,"Abrahamsen, Eirik (NOR)",04:34:46,+42:03
,140,"Rolid, Mathias Aas (NOR)",04:35:35,+42:52
,141,"Hortlund, Elias (SWE)",04:35:49,+43:06
,142,"Falk, Stefan (GER)",04:35:54,+43:11
,143,"Bleken, Magnus (NOR)",04:36:06,+43:23
,144,"Hårrskog, Erik (SWE)",04:36:12,+43:29
,145,"Jönsson, Markus (SWE)",04:36:12,+43:29
,146,"Myhre, Christian Melsom (NOR)",04:36:16,+43:33
,147,"Karlström, Daniel (SWE)",04:36:29,+43:46
,148,"Ryttervold, Ivar Andre (NOR)",04:36:35,+43:52
,149,"Impola, Bill (SWE)",04:36:39,+43:56
