total-place,gender-place,name,time,diff
,3346,"Sundsten, Henry (SWE)",00:38:18,+26:17
,3347,"Lindroos, Magnus (FIN)",00:38:19,+26:18
,3348,"Lind, Elof (SWE)",00:38:20,+26:19
,3349,"Risinger, Jan (SWE)",00:38:20,+26:19
,3350,"Andersson, Björn (SWE)",00:38:20,+26:19
,3351,"Michler, Ralf-Peter (NOR)",00:38:20,+26:19
,3352,"Adrian, Tobias (SWE)",00:38:20,+26:19
,3353,"Ranström, Magnus (SWE)",00:38:21,+26:20
,3354,"Sjursen, Morten (NOR)",00:38:21,+26:20
,3355,"Gerdsling, Niclas (SWE)",00:38:21,+26:20
,3356,"Eliasson, Markus (SWE)",00:38:22,+26:21
,3357,"Musil, Lukas (CZE)",00:38:22,+26:21
,3358,"Vokurka, Jan (CZE)",00:38:22,+26:21
,3359,"Bönisch, Radek (CZE)",00:38:23,+26:22
,3360,"Haapasalo-Eklund, Olof (SWE)",00:38:23,+26:22
,3361,"Rinstad, Anders (SWE)",00:38:23,+26:22
,3362,"Martinsson, Oscar (SWE)",00:38:23,+26:22
,3363,"Steinhauer, Harald (GER)",00:38:23,+26:22
,3364,"Österlund, Magnus (FIN)",00:38:24,+26:23
,3365,"Ahlepil, Erik (SWE)",00:38:24,+26:23
,3366,"Svensson, Roger (SWE)",00:38:25,+26:24
,3367,"Eriksson, Björn (SWE)",00:38:26,+26:25
,3368,"Söderberg, Kenneth (SWE)",00:38:27,+26:26
,3369,"Lundmark, Matias (SWE)",00:38:27,+26:26
,3370,"Fredin Haslum, Eric (SWE)",00:38:27,+26:26
,3371,"Boäng, Magnus (SWE)",00:38:27,+26:26
,3372,"Höök, Mikael (SWE)",00:38:27,+26:26
,3373,"Bucht, Magnus (SWE)",00:38:27,+26:26
,3374,"Johansson, Daniel (SWE)",00:38:27,+26:26
,3375,"Limpert, Christoph (GER)",00:38:28,+26:27
,3376,"Ejnarsson, Erik (SWE)",00:38:29,+26:28
,3377,"Carlsson, Björn (SWE)",00:38:29,+26:28
,3378,"Olofsson, Erik (SWE)",00:38:30,+26:29
,3379,"Folkesson, Roger (SWE)",00:38:30,+26:29
,3380,"Coufal, Tomas (CZE)",00:38:30,+26:29
,3381,"Forslund, Jonas (SWE)",00:38:31,+26:30
,3382,"Hanstad, Daniel (NOR)",00:38:31,+26:30
,3383,"Dellert, Magnus (SWE)",00:38:32,+26:31
,3384,"Gyllner, Anders (SWE)",00:38:32,+26:31
,3385,"Lazur, Ludek (CZE)",00:38:32,+26:31
,3386,"Karo, Erko (EST)",00:38:33,+26:32
,3387,"Aronsson, Håkan (SWE)",00:38:33,+26:32
,3388,"Karlsson, Kjell-Johan (FIN)",00:38:34,+26:33
,3389,"Fogde, Jan-Erik (FIN)",00:38:34,+26:33
,3390,"Davidsson, Anders (SWE)",00:38:34,+26:33
,3391,"Davidsson, Tommy (SWE)",00:38:34,+26:33
,3392,"Karlsson, Ulf (SWE)",00:38:35,+26:34
,3393,"Kinberger, David (SWE)",00:38:35,+26:34
